Date,Post,Source
2021-11-16,Robredo courts Nueva Ecija farmers,Rappler
2021-11-16,Comelec records 10 substitution bids for national posts in 2022,Rappler
2021-11-16,Cagayan de Oro mayor offers P2M reward for arrest of killers of congressman’s son,Rappler
2021-11-16,Rudy Fariñas beats deadline to run for Ilocos Norte governor vs Marcos,Rappler
2021-11-16,[Newsstand] Duterte lost control of substitution circus he started,Rappler
2021-11-16,"Duterte ditches 'retirement' plan, seeks Senate seat in 2022",Rappler
2021-11-16,"Bong Go ‘controlling' Duterte and is 'one of country’s problems,’ says red-tagger Parlade",Rappler
2021-11-16,The Marcoses: New and improved?,Rappler
2021-11-16,[WATCH] On The Campaign Trail with John Nery: The substitution circus,Rappler
2021-11-16,PDP-Laban backs Bong Go's presidential bid under PDDS,Rappler
2021-11-16,[New School] What should genuine 'youth empowerment' look like?,Rappler
2021-11-16,"After failed ILC bid, Harry Roque vies for Senate seat",Rappler
2021-11-16,"LIVE: Candidate substitutions, withdrawals for 2022 PH elections – November 15",Rappler
2021-11-16,[EDITORIAL] Substitution in aid of gangster politics,Rappler
2021-11-15,Ex-PNP chief Eleazar files candidacy for senator,Rappler
2021-11-15,What to watch out for on last day of substitution for 2022 polls,Rappler
2021-11-15,'Anyare?': Comelec hit for 'minimal' pay hike of 2022 poll workers,Rappler
2021-11-15,Sara Duterte: VP run an opportunity to meet supporters halfway,Rappler
2021-11-15,Unbothered Robredo dances to Taylor Swift as substitution drama unfolds,Rappler
2021-11-15,"Duterte, allies break Comelec protocols during substitution",Rappler
2021-11-15,"What is PDDS, the party backing Bong Go's presidential bid?",Rappler
2021-11-15,And now... Duterte will run for VP vs own daughter,Rappler
2021-11-15,Bato dela Rosa withdraws presidential bid,Rappler
2021-11-15,"Bong Go backs out of VP race, runs for president instead",Rappler
2021-11-15,Lakas-CMD to adopt standard-bearer for VP bet Sara Duterte,Rappler
2021-11-15,Bongbong Marcos adopts Sara Duterte as VP bet,Rappler
2021-11-15,"2022 poll workers to get up to P3,000-pay hike",Rappler
2021-11-15,HINDI TOTOO: Inireklamo si Moreno sa Comelec matapos bumili ng boto noong Nobyembre 2021,Rappler
2021-11-15,Ex-PNP chief Guillermo Eleazar to run for senator,Rappler
2021-11-15,Marcos Jr: I won't back out of presidential bid for anyone | Evening wRap,Rappler
2021-11-15,Robredo says she’ll still ‘work hard’ to woo Cebuano votes despite big 2016 win,Rappler
2021-11-15,"As Sara Duterte moves, the ruling PDP-Laban watches",Rappler
2021-11-15,Lacson-Sotto 'convincing' Eleazar to be Senate bet,Rappler
2021-11-15,"Bongbong Marcos: I am running for president, no to term-sharing",Rappler
2021-11-15,[WATCH] #TunayNaPagbabago: Kuwentong Ex-DDS,Rappler
2021-11-15,"Rappler Recap: Sara Duterte leaves Hugpong, joins Lakas. What's next?",Rappler
2021-11-15,Pompee La Viña runs for Cagayan de Oro mayor via substitution under Lakas,Rappler
2021-11-16,Comelec issues summons to Bongbong Marcos over petition to block candidacy,Rappler
2021-11-15,"LIVE UPDATES: Candidate substitution, withdrawal for 2022 PH elections",Rappler
2021-11-15,"Sara Duterte quits Hugpong, joins Lakas-CMD | Evening wRap",Rappler
2021-11-15,"In Silang, a Revilla wedding, Sara Duterte's oath-taking",Rappler
2021-11-15,"Marcos: If Sara runs for president, I will still stick to plan",Rappler
2021-11-15,Duterte appoints Manila prosecutor Rey Bulay as Comelec commissioner,Rappler
2021-11-15,Sara Duterte joins Lakas-CMD,Rappler
2021-11-15,MANIPULADONG LARAWAN: Pahayag ng suporta ng Santo Papa kay Bongbong Marcos,Rappler
2021-11-15,Sara Duterte leaves own party after withdrawing mayoral bid,Rappler
2021-11-15,"Amid talk of 2022 national run, Sara Duterte flies to luxury resort",Rappler
2021-11-15,I'm still running for president – Pacquiao,Rappler
2021-11-15,"'The Philippines is in the ICU,' says VP bet Sotto",Rappler
2021-11-15,"No substitutions for Leni-Kiko tandem, says Pangilinan",Rappler
2021-11-15,HINDI TOTOO: Walang naipasang batas si Bongbong Marcos habang senador,Rappler
2021-11-15,"After word war, Pacquiao-Duterte meet again | Evening wRap",Rappler
2021-11-15,Friends again? Pacquiao meets with Duterte,Rappler
