NAME,SEX,POLITICAL PARTY,ALIAS
"ABARRONDO, EVELIA LABRADOR",FEMALE,INDEPENDENT,ABARRONDO
"ABELLA, ERNESTO CORPUS",MALE,INDEPENDENT,ABELLA
"AGCAOILI, LORETO AGUSTIN",MALE,INDEPENDENT,AGCAOILI
"AGUILA, DAVE CRISTOFERSON CRUZ",MALE,INDEPENDENT,AGUILA
"AGUILAR, JUAN JR. FRANCISCO",MALE,INDEPENDENT,AGUILAR
"ANDES, HILARIO TUPLANO",MALE,INDEPENDENT,ANDES
"ANDRADE, SONNY BOY ROGAN",MALE,INDEPENDENT,ANDRADE
"ANIÑON, DELIA FUYUNAN",FEMALE,INDEPENDENT,ANIÑON
"ANTIPORDA, ARSENIO JR. REMIGIO",MALE,PARTIDO MAHARLIKA,ANTIPORDA
"AQUINO, MARIA ANTONIA RAEL TAPIRU",FEMALE,INDEPENDENT,AQUINO
"ARAP, SALIC DUMANGAS",MALE,INDEPENDENT,ARAP
"ARCEGA, GERALD BALITA",MALE,INDEPENDENT,ARCEGA
"ASUELO, RAMON FASTIDIO",MALE,INDEPENDENT,ASUELO
"BAHIAN, REYSAL LAPUAG",FEMALE,INDEPENDENT,BAHIAN
"BASADRE, RODULFO SR. ALAAN",MALE,INDEPENDENT,BASADRE
"BELGICA, GREPOR BANZUELA",MALE,PEDERALISMO NG DUGONG DAKILANG SAMAHAN,BELGICA
"BRAVO, BONIFACIO FELICITAS",MALE,INDEPENDENT,BRAVO
"CADION, LEO MIRANDA",MALE,PHILIPPINE GREEN REPUBLICAN PARTY,CADION
"CASINO, ROLLY REYES",MALE,INDEPENDENT,CASINO
"PESIGAN, MARIA MERCEDES REMEDIOS CODIÑERA",FEMALE,INDEPENDENT,PESIGAN
"DACILLO, DIOSDADA REFULLE",FEMALE,INDEPENDENT,DACILLO
"DAVID, ARNEL VICTORIANO",MALE,INDEPENDENT,DAVID
"DE GUZMAN, PERCIVAL KEVIN ENRIQUEZ",MALE,INDEPENDENT,DE GUZMAN
"DE GUZMAN, LEODEGARIO QUITAIN",MALE,PARTIDO LAKAS NG MASA,DE GUZMAN
"DE GUZMAN, ORLANDO CARANTO",MALE,PARTIDO PEDERAL NG MAHARLIKA,DE GUZMAN
"DE LEON, DIANE GARCIA",FEMALE,INDEPENDENT,DE LEON
"DE VERA, RODEL CASTEL",MALE,INDEPENDENT,DE VERA
"DEFIÑO, EPHRAIM BALDOMERO",MALE,INDEPENDENT,DEFIÑO
"DELA ROSA, RONALD MARAPON",MALE,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,"BATO DELA ROSA, BATO"
"DIAZ, RAMON RACO CALIPAYAN",MALE,INDEPENDENT,DIAZ
"DIMAYA, ARSENIO TABIEROS",MALE,INDEPENDENT,DIMAYA
"DOMAGOSO, FRANCISCO MORENO",MALE,AKSYON DEMOKRATIKO,"ISKO MORENO, ISKO"
"DOMINGO, RICARDO BARCELONA",MALE,INDEPENDENT,DOMINGO
"Duterte- Carpio, Sara Zimmerman ",FEMALE,INDEPENDENT,"SARA DUTERTE, SARA"
"ENCARNACION, ALEXANDER CURA",MALE,INDEPENDENT,ENCARNACION
"ERAZO, LUCIO SR. GENGANE",MALE,INDEPENDENT,ERAZO
"FABITO, ANTERO FACINAL",MALE,INDEPENDENT,FABITO
"FAJARDO, ANTHONY ROSAL",MALE,INDEPENDENT,FAJARDO
"FELIX, CORINA JOYCE CASTILLO",FEMALE,INDEPENDENT,FELIX
"FERNANDEZ, LEONARDO ABIERA",MALE,PARTIDO PILIPINO SA PAGBABAGO,FERNANDEZ
"FLORES, RUDY CUBIHANO",MALE,INDEPENDENT,FLORES
"FRONDA, EDENCIO BOCALBOS",MALE,INDEPENDENT,FRONDA
"FUERTE, EDMUNDO DEL PILAR",MALE,INDEPENDENT,FUERTE
"GAA, KAMADHENU TULSI",FEMALE,INDEPENDENT,GAA
"Go, Christopher Lawrence ",MALE,INDEPENDENT,"Bong Go, Bong, Go"
"GONZALES, NORBERTO BORJA",MALE,PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS,GONZALES
"INTE, VICTORIANO TEJANO",MALE,INDEPENDENT,INTE
"KATIGBAK, ALEJO PANGANIBAN",MALE,INDEPENDENT,KATIGBAK
"KAYANAN, WINSTON NOROÑA",MALE,INDEPENDENT,KAYANAN
"LACSON, PANFILO MORENA",MALE,PARTIDO PARA SA DEMOKRATIKONG REPORMA,"PING LACSON, PING, LACSON"
"LAROT, GABRIELA SALADAGA",FEMALE,INDEPENDENT,LAROT
"LIHAYLIHAY, DANILO ANCERO",MALE,INDEPENDENT,LIHAYLIHAY
"LOS BAÑOS, EDGARDO AMARILLA",MALE,INDEPENDENT,LOS BAÑOS
"LUBARBIO, HAPPY FAJARDO",FEMALE,INDEPENDENT,LUBARBIO
"LUYAHAN, MARSDEN CUARTEROS",MALE,INDEPENDENT,LUYAHAN
"MANGONDATO, FAISAL MONTAY",MALE,KATIPUNAN NG KAMALAYANG KAYUMANGGI,MANGONDATO
